departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
ACX,LJG,2018,ACXLJG2018,2,25.082371,104.96221200000001,26.683332,100.25,0.07816092,0.21609195399999998,289.0,3.48e-05,290,2.3199999999999998e-05,"[25.082371, 104.96221200000001]","[26.683332, 100.25]"
ACX,MIG,2018,ACXMIG2018,2,25.082371,104.96221200000001,31.428986,104.743592,0.07816092,0.193103448,29.0,4.41e-05,29,2.8199999999999998e-05,"[25.082371, 104.96221200000001]","[31.428986, 104.743592]"
ACX,NAY,2015,ACXNAY2015,2,25.082371,104.96221200000001,40.084152,116.592735,0.088669951,0.566502463,312.0,0.0006141709999999999,315,0.000644817,"[25.082371, 104.96221200000001]","[40.084152, 116.592735]"
ACX,NAY,2016,ACXNAY2016,2,25.082371,104.96221200000001,40.084152,116.592735,0.130841121,0.48598130799999995,309.0,0.000353807,310,0.000357634,"[25.082371, 104.96221200000001]","[40.084152, 116.592735]"
ACX,NAY,2017,ACXNAY2017,2,25.082371,104.96221200000001,40.084152,116.592735,0.15044247800000002,0.548672566,320.0,0.000385297,322,0.00038527,"[25.082371, 104.96221200000001]","[40.084152, 116.592735]"
ACX,NAY,2018,ACXNAY2018,2,25.082371,104.96221200000001,40.084152,116.592735,0.07816092,0.31954023,298.0,0.000114249,298,0.00010591299999999999,"[25.082371, 104.96221200000001]","[40.084152, 116.592735]"
ACX,NGB,2015,ACXNGB2015,2,25.082371,104.96221200000001,29.826679,121.461899,0.088669951,0.38916256200000005,155.0,0.00029215599999999996,148,0.00027948599999999996,"[25.082371, 104.96221200000001]","[29.826679, 121.461899]"
ACX,NGB,2016,ACXNGB2016,2,25.082371,104.96221200000001,29.826679,121.461899,0.130841121,0.37850467299999996,253.0,0.000150094,253,0.000153225,"[25.082371, 104.96221200000001]","[29.826679, 121.461899]"
ACX,NGB,2017,ACXNGB2017,2,25.082371,104.96221200000001,29.826679,121.461899,0.15044247800000002,0.508849558,297.0,0.000176023,297,0.000163704,"[25.082371, 104.96221200000001]","[29.826679, 121.461899]"
ACX,NGB,2018,ACXNGB2018,2,25.082371,104.96221200000001,29.826679,121.461899,0.07816092,0.365517241,385.0,7.42e-05,384,4.02e-05,"[25.082371, 104.96221200000001]","[29.826679, 121.461899]"
ACX,PVG,2018,ACXPVG2018,2,25.082371,104.96221200000001,31.14337,121.805199,0.07816092,0.772413793,279.0,0.000408329,276,0.00010646100000000001,"[25.082371, 104.96221200000001]","[31.14337, 121.805199]"
ACX,SHA,2015,ACXSHA2015,2,25.082371,104.96221200000001,31.196099,121.339766,0.088669951,0.7487684729999999,162.0,0.0005077980000000001,162,0.000507932,"[25.082371, 104.96221200000001]","[31.196099, 121.339766]"
ACX,SHA,2016,ACXSHA2016,2,25.082371,104.96221200000001,31.196099,121.339766,0.130841121,0.719626168,290.0,0.00024477099999999996,281,0.000238142,"[25.082371, 104.96221200000001]","[31.196099, 121.339766]"
ACX,SHA,2017,ACXSHA2017,2,25.082371,104.96221200000001,31.196099,121.339766,0.15044247800000002,0.668141593,364.0,0.000172002,356,0.000174362,"[25.082371, 104.96221200000001]","[31.196099, 121.339766]"
ACX,SHA,2018,ACXSHA2018,2,25.082371,104.96221200000001,31.196099,121.339766,0.07816092,0.35862069,84.0,7.06e-05,83,4.7499999999999996e-05,"[25.082371, 104.96221200000001]","[31.196099, 121.339766]"
ACX,SZX,2015,ACXSZX2015,2,25.082371,104.96221200000001,22.63925,113.8106,0.088669951,0.980295567,84.0,0.000709458,84,0.0007060310000000001,"[25.082371, 104.96221200000001]","[22.63925, 113.8106]"
ACX,SZX,2016,ACXSZX2016,2,25.082371,104.96221200000001,22.63925,113.8106,0.130841121,0.962616822,123.0,0.000397985,123,0.00039982699999999995,"[25.082371, 104.96221200000001]","[22.63925, 113.8106]"
ACX,SZX,2017,ACXSZX2017,2,25.082371,104.96221200000001,22.63925,113.8106,0.15044247800000002,0.955752212,360.0,0.000300189,363,0.000300155,"[25.082371, 104.96221200000001]","[22.63925, 113.8106]"
ACX,SZX,2018,ACXSZX2018,2,25.082371,104.96221200000001,22.63925,113.8106,0.07816092,0.63908046,329.0,0.000159626,331,7.45e-05,"[25.082371, 104.96221200000001]","[22.63925, 113.8106]"
ACX,WUH,2016,ACXWUH2016,2,25.082371,104.96221200000001,30.783751000000002,114.208099,0.130841121,0.6542056070000001,36.0,0.00026389,36,0.00025906,"[25.082371, 104.96221200000001]","[30.783751000000002, 114.208099]"
ACX,WUH,2017,ACXWUH2017,2,25.082371,104.96221200000001,30.783751000000002,114.208099,0.15044247800000002,0.654867257,209.0,0.00021360599999999997,209,0.000214411,"[25.082371, 104.96221200000001]","[30.783751000000002, 114.208099]"
ACX,WUH,2018,ACXWUH2018,2,25.082371,104.96221200000001,30.783751000000002,114.208099,0.07816092,0.425287356,208.0,0.00010049700000000001,207,5.3299999999999995e-05,"[25.082371, 104.96221200000001]","[30.783751000000002, 114.208099]"
