departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,airline_centrality,year
CTU,XIY,4386,30.57852,103.946999,34.438157,108.764819,1.004926108,1.024630542,0.001022497,2015
PEK,FOC,4365,40.084152,116.592735,25.935061,119.6632,1.295566502,0.472906404,0.000414535,2015
FOC,PEK,4364,25.935061,119.6632,40.084152,116.592735,0.472906404,1.295566502,0.000388138,2015
KMG,SHA,4333,25.101944,102.929169,31.196099,121.339766,0.926108374,0.748768473,0.000499315,2015
URC,CGO,4290,43.907101,87.474243,34.519669,113.840797,0.472906404,0.625615764,0.000859504,2015
CGO,URC,4257,34.519669,113.840797,43.907101,87.474243,0.625615764,0.472906404,0.000840046,2015
XNN,XIY,4167,36.525322,102.037537,34.438157,108.764819,0.36453202,1.024630542,0.000664268,2015
SZX,PVG,4153,22.63925,113.8106,31.14337,121.805199,0.980295567,1.004926108,0.000393288,2015
PVG,SZX,4152,31.14337,121.805199,22.63925,113.8106,1.004926108,0.980295567,0.000483673,2015
YIN,URC,4150,43.957321,81.33329,43.907101,87.474243,0.039408867,0.472906404,0.001427753,2015
URC,YIN,4116,43.907101,87.474243,43.957321,81.33329,0.472906404,0.039408867,0.001526637,2015
XIY,INC,4106,34.438157,108.764819,38.322769,106.393303,1.024630542,0.433497537,0.000269982,2015
CSX,KMG,4094,28.196667,113.220833,25.101944,102.929169,0.743842365,0.926108374,0.000423082,2015
KMG,CSX,4089,25.101944,102.929169,28.196667,113.220833,0.926108374,0.743842365,0.00042191,2015
HGH,CTU,4020,30.2295,120.434402,30.57852,103.946999,0.866995074,1.004926108,0.000603295,2015
CTU,HGH,4012,30.57852,103.946999,30.2295,120.434402,1.004926108,0.866995074,0.000588772,2015
XMN,CAN,4005,24.544029,118.127701,23.392429,113.298698,0.719211823,1.064039409,0.00017948,2015
WNZ,CAN,4002,27.91222,120.851898,23.392429,113.298698,0.369458128,1.064039409,0.000216355,2015
CAN,WNZ,3999,23.392429,113.298698,27.91222,120.851898,1.064039409,0.369458128,0.000215894,2015
URC,KRL,3996,43.907101,87.474243,41.618911,86.138043,0.472906404,0.078817734,0.000697215,2015
KRL,URC,3988,41.618911,86.138043,43.907101,87.474243,0.078817734,0.472906404,0.000652742,2015
CAN,XMN,3987,23.392429,113.298698,24.544029,118.127701,1.064039409,0.719211823,0.00018641,2015
SHA,CSX,3976,31.196099,121.339766,28.196667,113.220833,0.748768473,0.743842365,0.000172228,2015
KWE,PEK,3918,26.538521,106.800697,40.084152,116.592735,0.566502463,1.295566502,0.000500015,2015
PEK,KWE,3916,40.084152,116.592735,26.538521,106.800697,1.295566502,0.566502463,0.000508522,2015
SZX,CGO,3902,22.63925,113.8106,34.519669,113.840797,0.980295567,0.625615764,0.000243171,2015
CGO,SZX,3887,34.519669,113.840797,22.63925,113.8106,0.625615764,0.980295567,0.000244399,2015
CAN,SYX,3883,23.392429,113.298698,18.302891,109.412201,1.064039409,0.532019704,0.000194998,2015
SYX,CAN,3874,18.302891,109.412201,23.392429,113.298698,0.532019704,1.064039409,0.000188155,2015
SHE,PEK,3822,41.639839,123.483398,40.084152,116.592735,0.561576355,1.295566502,0.000343163,2015
CGO,HGH,3779,34.519669,113.840797,30.2295,120.434402,0.625615764,0.866995074,0.000190726,2015
HGH,CGO,3771,30.2295,120.434402,34.519669,113.840797,0.866995074,0.625615764,0.000190045,2015
PEK,SHE,3771,40.084152,116.592735,41.639839,123.483398,1.295566502,0.561576355,0.000380556,2015
CKG,SHA,3758,29.71921,106.641602,31.196099,121.339766,0.985221675,0.748768473,0.000407157,2015
CKG,SYX,3745,29.71921,106.641602,18.302891,109.412201,0.985221675,0.532019704,0.000315073,2015
HAK,PEK,3741,19.934851,110.4589,40.084152,116.592735,0.753694581,1.295566502,0.000640571,2015
WUH,XMN,3737,30.783751,114.208099,24.544029,118.127701,0.566502463,0.719211823,0.000167373,2015
XMN,WUH,3735,24.544029,118.127701,30.783751,114.208099,0.719211823,0.566502463,0.000176064,2015
PEK,HAK,3732,40.084152,116.592735,19.934851,110.4589,1.295566502,0.753694581,0.000697609,2015
SYX,CKG,3708,18.302891,109.412201,29.71921,106.641602,0.532019704,0.985221675,0.000319115,2015
CSX,SHA,3685,28.196667,113.220833,31.196099,121.339766,0.743842365,0.748768473,0.000165831,2015
XMN,NKG,3682,24.544029,118.127701,31.742041,118.862,0.719211823,0.566502463,0.000166049,2015
NKG,XMN,3676,31.742041,118.862,24.544029,118.127701,0.566502463,0.719211823,0.000164896,2015
SHA,CKG,3673,31.196099,121.339766,29.71921,106.641602,0.748768473,0.985221675,0.000415324,2015
WUH,CAN,3671,30.783751,114.208099,23.392429,113.298698,0.566502463,1.064039409,0.000249925,2015
CAN,WUH,3665,23.392429,113.298698,30.783751,114.208099,1.064039409,0.566502463,0.000266145,2015
SHA,CGO,3663,31.196099,121.339766,34.519669,113.840797,0.748768473,0.625615764,0.000177115,2015
KMG,NKG,3644,25.101944,102.929169,31.742041,118.862,0.926108374,0.566502463,0.000422922,2015
LHW,PEK,3626,36.51524,103.620697,40.084152,116.592735,0.463054187,1.295566502,0.000590897,2015
PEK,LHW,3623,40.084152,116.592735,36.51524,103.620697,1.295566502,0.463054187,0.000561943,2015
XIY,CKG,3618,34.438157,108.764819,29.71921,106.641602,1.024630542,0.985221675,0.000877896,2015
TAO,HRB,3605,36.266102,120.374397,45.623402,126.250298,0.60591133,0.669950739,0.000334462,2015
HRB,TAO,3593,45.623402,126.250298,36.266102,120.374397,0.669950739,0.60591133,0.000402549,2015
CTU,URC,3587,30.57852,103.946999,43.907101,87.474243,1.004926108,0.472906404,0.00248061,2015
URC,CTU,3584,43.907101,87.474243,30.57852,103.946999,0.472906404,1.004926108,0.002714437,2015
CKG,XIY,3579,29.71921,106.641602,34.438157,108.764819,0.985221675,1.024630542,0.000953566,2015
HGH,TAO,3565,30.2295,120.434402,36.266102,120.374397,0.866995074,0.60591133,0.000221742,2015
CGO,SHA,3558,34.519669,113.840797,31.196099,121.339766,0.625615764,0.748768473,0.000171124,2015
NKG,KMG,3557,31.742041,118.862,25.101944,102.929169,0.566502463,0.926108374,0.000430201,2015
TAO,HGH,3553,36.266102,120.374397,30.2295,120.434402,0.60591133,0.866995074,0.000206583,2015
WUH,PVG,3545,30.783751,114.208099,31.14337,121.805199,0.566502463,1.004926108,0.000359681,2015
PVG,WUH,3544,31.14337,121.805199,30.783751,114.208099,1.004926108,0.566502463,0.000417607,2015
SHA,TSN,3532,31.196099,121.339766,39.124352,117.3461,0.748768473,0.733990148,0.000234645,2015
CKG,NKG,3531,29.71921,106.641602,31.742041,118.862,0.985221675,0.566502463,0.000349688,2015
HGH,KMG,3521,30.2295,120.434402,25.101944,102.929169,0.866995074,0.926108374,0.000708832,2015
NKG,CKG,3520,31.742041,118.862,29.71921,106.641602,0.566502463,0.985221675,0.000372619,2015
TSN,SHA,3519,39.124352,117.3461,31.196099,121.339766,0.733990148,0.748768473,0.000221258,2015
KMG,HGH,3513,25.101944,102.929169,30.2295,120.434402,0.926108374,0.866995074,0.000701197,2015
SHA,XIY,3475,31.196099,121.339766,34.438157,108.764819,0.748768473,1.024630542,0.000390178,2015
NKG,PEK,3473,31.742041,118.862,40.084152,116.592735,0.566502463,1.295566502,0.000353817,2015
PEK,NKG,3472,40.084152,116.592735,31.742041,118.862,1.295566502,0.566502463,0.000348954,2015
SYX,PVG,3414,18.302891,109.412201,31.14337,121.805199,0.532019704,1.004926108,0.000283486,2015
PVG,SYX,3383,31.14337,121.805199,18.302891,109.412201,1.004926108,0.532019704,0.000315379,2015
XIY,SHA,3352,34.438157,108.764819,31.196099,121.339766,1.024630542,0.748768473,0.000357137,2015
YNT,PEK,3342,37.657223,120.987221,40.084152,116.592735,0.369458128,1.295566502,0.000410978,2015
