id,flights,mode,departure,destination,departure_lat,departure_lng,destination_lat,destination_lng,departure_name,destination_name
TSN-TAO,639,departure,TSN,TAO,39.124352,117.3461,36.266102,120.374397,天津滨海,青岛流亭
TSN-MIG,592,departure,TSN,MIG,39.124352,117.3461,31.428986,104.743592,天津滨海,绵阳南郊
TSN-BAV,501,departure,TSN,BAV,39.124352,117.3461,40.55999,109.996902,天津滨海,包头东河
TSN-XNN,495,departure,TSN,XNN,39.124352,117.3461,36.525322,102.037537,天津滨海,西宁曹家堡
TSN-INC,457,departure,TSN,INC,39.124352,117.3461,38.322769,106.393303,天津滨海,银川河东
TSN-CGO,415,departure,TSN,CGO,39.124352,117.3461,34.519669,113.840797,天津滨海,郑州新郑
TSN-DOY,354,departure,TSN,DOY,39.124352,117.3461,37.503772,118.79283,天津滨海,东营胜利
TSN-NTG,353,departure,TSN,NTG,39.124352,117.3461,32.072922,120.975601,天津滨海,南通兴东
TSN-GYU,350,departure,TSN,GYU,39.124352,117.3461,36.078195,106.222016,天津滨海,固原六盘山
TSN-SJW,347,departure,TSN,SJW,39.124352,117.3461,38.274376,114.694427,天津滨海,石家庄正定
TSN-YNZ,346,departure,TSN,YNZ,39.124352,117.3461,33.385555,120.125275,天津滨海,盐城南洋
TSN-THQ,340,departure,TSN,THQ,39.124352,117.3461,34.558077,105.864711,天津滨海,天水麦积山
TSN-XFN,340,departure,TSN,XFN,39.124352,117.3461,32.150551,112.290802,天津滨海,襄阳刘集
TSN-LYG,321,departure,TSN,LYG,39.124352,117.3461,34.571659,118.873596,天津滨海,连云港白塔埠
TSN-NNY,321,departure,TSN,NNY,39.124352,117.3461,32.98,112.610001,天津滨海,南阳姜营
TSN-XIL,321,departure,TSN,XIL,39.124352,117.3461,43.913873,115.966246,天津滨海,锡林浩特
TSN-HLH,313,departure,TSN,HLH,39.124352,117.3461,46.200408,122.007318,天津滨海,乌兰浩特依勒力特
TSN-NZL,309,departure,TSN,NZL,39.124352,117.3461,47.869621,122.768601,天津滨海,扎兰屯成吉思汗
TSN-WDS,307,departure,TSN,WDS,39.124352,117.3461,32.591667,110.907776,天津滨海,十堰武当山
TSN-NDG,304,departure,TSN,NDG,39.124352,117.3461,47.24241,123.924645,天津滨海,齐齐哈尔三家子
TSN-RIZ,297,departure,TSN,RIZ,39.124352,117.3461,35.402879,119.331808,天津滨海,日照山字河
TSN-NBS,287,departure,TSN,NBS,39.124352,117.3461,42.071926,127.609218,天津滨海,长白山
TSN-UCB,281,departure,TSN,UCB,39.124352,117.3461,41.127163,113.117591,天津滨海,乌兰察布集宁
TSN-YCU,268,departure,TSN,YCU,39.124352,117.3461,35.116669,111.039719,天津滨海,运城关公
TSN-CGD,267,departure,TSN,CGD,39.124352,117.3461,28.91888,111.640198,天津滨海,常德桃花源
TSN-SWA,266,departure,TSN,SWA,39.124352,117.3461,23.5525,116.505836,天津滨海,揭阳潮汕
TSN-LYI,262,departure,TSN,LYI,39.124352,117.3461,35.046112,118.411667,天津滨海,临沂沭埠岭
TSN-YIH,261,departure,TSN,YIH,39.124352,117.3461,30.556473,111.479942,天津滨海,宜昌三峡
TSN-TYN,255,departure,TSN,TYN,39.124352,117.3461,37.746891,112.628403,天津滨海,太原武宿
TSN-TGO,251,departure,TSN,TGO,39.124352,117.3461,43.55666,122.199699,天津滨海,通辽
TSN-DQA,238,departure,TSN,DQA,39.124352,117.3461,46.748684,125.139725,天津滨海,大庆萨尔图
TSN-HJJ,236,departure,TSN,HJJ,39.124352,117.3461,27.442036,109.709861,天津滨海,怀化芷江
TSN-DAT,229,departure,TSN,DAT,39.124352,117.3461,40.062064,113.486564,天津滨海,大同云冈
TSN-WEH,212,departure,TSN,WEH,39.124352,117.3461,37.185852,122.234969,天津滨海,威海大水泊
TSN-DBC,210,departure,TSN,DBC,39.124352,117.3461,45.508143,123.026293,天津滨海,白城长安
TSN-CHG,207,departure,TSN,CHG,39.124352,117.3461,41.541983,120.44019,天津滨海,朝阳
TSN-YTY,205,departure,TSN,YTY,39.124352,117.3461,32.563057,119.718887,天津滨海,扬州泰州
TSN-WXN,203,departure,TSN,WXN,39.124352,117.3461,30.799679,108.426949,天津滨海,万州五桥
TSN-DYG,200,departure,TSN,DYG,39.124352,117.3461,29.101431,110.447943,天津滨海,张家界荷花国际
TSN-HSN,200,departure,TSN,HSN,39.124352,117.3461,29.932602,122.364994,天津滨海,舟山普陀山
TSN-ENH,199,departure,TSN,ENH,39.124352,117.3461,30.320278,109.485001,天津滨海,恩施许家坪
TSN-HUZ,196,departure,TSN,HUZ,39.124352,117.3461,23.0497,114.607144,天津滨海,惠州平潭
TSN-CIH,189,departure,TSN,CIH,39.124352,117.3461,36.247454,113.131759,天津滨海,长治王村
TSN-FUG,187,departure,TSN,FUG,39.124352,117.3461,32.879154,115.740674,天津滨海,阜阳西关
TSN-NAO,185,departure,TSN,NAO,39.124352,117.3461,30.793442,106.168002,天津滨海,南充高坪
TSN-YIW,180,departure,TSN,YIW,39.124352,117.3461,29.344563,120.028809,天津滨海,义乌
TSN-ZYI,180,departure,TSN,ZYI,39.124352,117.3461,27.807552,107.250977,天津滨海,遵义新舟
TSN-DLU,165,departure,TSN,DLU,39.124352,117.3461,25.647097,100.320711,天津滨海,大理荒草坝
TSN-JUH,162,departure,TSN,JUH,39.124352,117.3461,30.738176,117.690942,天津滨海,池州九华山
TSN-LLV,162,departure,TSN,LLV,39.124352,117.3461,37.684589,111.148478,天津滨海,吕梁大武
TSN-TNH,156,departure,TSN,TNH,39.124352,117.3461,42.032771,125.790631,天津滨海,通化三源浦
TSN-KRL,152,departure,TSN,KRL,39.124352,117.3461,41.618911,86.138043,天津滨海,库尔勒
TSN-WMT,145,departure,TSN,WMT,39.124352,117.3461,27.59,106.999725,天津滨海,遵义茅台
TSN-DSN,142,departure,TSN,DSN,39.124352,117.3461,39.495789,109.867412,天津滨海,鄂尔多斯伊金霍洛
TSN-IQN,142,departure,TSN,IQN,39.124352,117.3461,35.802506,107.604593,天津滨海,庆阳西峰
TSN-WUS,140,departure,TSN,WUS,39.124352,117.3461,27.698972,118.004959,天津滨海,武夷山
TSN-LJG,139,departure,TSN,LJG,39.124352,117.3461,26.683332,100.25,天津滨海,丽江三义
TSN-WUT,131,departure,TSN,WUT,39.124352,117.3461,38.599167,112.967781,天津滨海,忻州五台山
TSN-HIA,120,departure,TSN,HIA,39.124352,117.3461,33.788792,119.131102,天津滨海,淮安涟水
TSN-JNG,117,departure,TSN,JNG,39.124352,117.3461,35.29364,116.353255,天津滨海,济宁曲阜
TSN-LYA,116,departure,TSN,LYA,39.124352,117.3461,34.741112,112.388298,天津滨海,洛阳北郊
TSN-BAR,105,departure,TSN,BAR,39.124352,117.3461,19.139692,110.457703,天津滨海,琼海博鳌
TSN-HNY,96,departure,TSN,HNY,39.124352,117.3461,26.721945,112.618057,天津滨海,衡阳南岳
TSN-GXH,84,departure,TSN,GXH,39.124352,117.3461,34.82166,102.622647,天津滨海,甘南夏河
TSN-LFQ,80,departure,TSN,LFQ,39.124352,117.3461,36.131668,111.658058,天津滨海,临汾乔李
TSN-YSQ,79,departure,TSN,YSQ,39.124352,117.3461,44.93954,124.557144,天津滨海,松原查干湖
TSN-YNJ,60,departure,TSN,YNJ,39.124352,117.3461,42.885662,129.439362,天津滨海,延吉朝阳川
TSN-ZQZ,57,departure,TSN,ZQZ,39.124352,117.3461,40.74646,114.955452,天津滨海,张家口宁远
TSN-MDG,47,departure,TSN,MDG,39.124352,117.3461,44.52,129.559998,天津滨海,牡丹江海浪
TSN-ERL,40,departure,TSN,ERL,39.124352,117.3461,43.426714,112.099704,天津滨海,二连浩特赛乌素
TSN-ENY,38,departure,TSN,ENY,39.124352,117.3461,36.475595,109.476005,天津滨海,延安南泥湾
TSN-LZO,34,departure,TSN,LZO,39.124352,117.3461,29.030001,105.470001,天津滨海,泸州云龙
TSN-JDZ,26,departure,TSN,JDZ,39.124352,117.3461,29.336129,117.181706,天津滨海,景德镇罗家
TSN-NAY,21,departure,TSN,NAY,39.124352,117.3461,40.084152,116.592735,天津滨海,北京南苑
TSN-KRY,16,departure,TSN,KRY,39.124352,117.3461,45.46725,84.956487,天津滨海,克拉玛依
TSN-PEK,12,departure,TSN,PEK,39.124352,117.3461,40.084152,116.592735,天津滨海,北京首都
TSN-TNA,12,departure,TSN,TNA,39.124352,117.3461,36.857208,117.215897,天津滨海,济南遥墙
TSN-YBP,4,departure,TSN,YBP,39.124352,117.3461,28.797781,104.550293,天津滨海,宜宾菜坝
