departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out
AHJ,CTU,2017,AHJCTU2017,2,32.526648,102.359218,30.57852,103.946999,0.017699115,1.079646018,75,0.00227271,75,0.002280267
AHJ,CTU,2018,AHJCTU2018,2,32.526648,102.359218,30.57852,103.946999,0.018390805,0.72183908,92,0.000893195,97,0.000461179
AHJ,LXA,2018,AHJLXA2018,2,32.526648,102.359218,29.29777,90.911942,0.018390805,0.11954023,75,0.000158081,70,0.0000824
AHJ,WNZ,2018,AHJWNZ2018,2,32.526648,102.359218,27.91222,120.851898,0.018390805,0.324137931,46,0.000424173,46,0.000200957
AKU,CGO,2017,AKUCGO2017,2,41.263252,80.293103,34.519669,113.840797,0.061946903,0.787610619,224,0.000806575,224,0.000817103
AKU,CGO,2018,AKUCGO2018,2,41.263252,80.293103,34.519669,113.840797,0.045977011,0.47816092,524,0.000293606,525,0.000154823
AKU,CKG,2015,AKUCKG2015,2,41.263252,80.293103,29.71921,106.641602,0.039408867,0.985221675,25,0.00130742,25,0.001332737
AKU,CKG,2016,AKUCKG2016,2,41.263252,80.293103,29.71921,106.641602,0.046728972,0.995327103,186,0.001384627,186,0.001399414
AKU,CKG,2017,AKUCKG2017,2,41.263252,80.293103,29.71921,106.641602,0.061946903,1.039823009,200,0.001049618,200,0.001050528
AKU,CKG,2018,AKUCKG2018,2,41.263252,80.293103,29.71921,106.641602,0.045977011,0.696551724,169,0.000424631,169,0.000249977
AKU,CTU,2015,AKUCTU2015,2,41.263252,80.293103,30.57852,103.946999,0.039408867,1.004926108,349,0.00134897,349,0.001295895
AKU,CTU,2016,AKUCTU2016,2,41.263252,80.293103,30.57852,103.946999,0.046728972,0.990654206,361,0.001397543,360,0.001404674
AKU,CTU,2017,AKUCTU2017,2,41.263252,80.293103,30.57852,103.946999,0.061946903,1.079646018,365,0.001092863,365,0.001101434
AKU,CTU,2018,AKUCTU2018,2,41.263252,80.293103,30.57852,103.946999,0.045977011,0.72183908,388,0.000481671,387,0.00022716
